stage,model,variant,f1_macro,accuracy
cv,LogisticRegression,A,0.8958644824532268,0.9
cv,RandomForest,A,0.9850632196213358,0.9856164383561644
cv,XGBoost,A,0.9747326656621015,0.9753424657534246
cv,LogisticRegression,B,0.5443081652077977,0.5732876712328767
cv,RandomForest,B,0.8292395384845512,0.8356164383561644
cv,XGBoost,B,0.8140852888817773,0.8212328767123289
test,RandomForest,A,1.0,1.0
test,XGBoost,A,0.970044467794229,0.9713375796178344
test,LogisticRegression,A,0.9092511112749315,0.9140127388535032
test,XGBoost,B,0.8261004010177511,0.8343949044585988
test,RandomForest,B,0.8083268274149606,0.8184713375796179
test,LogisticRegression,B,0.545850295523043,0.5796178343949044
